experiment	mae
baseline_random_forest	31.0488
lag_1_7_14	26.5481
lag_rolling_7_14	21.3975
lag_rolling_calendar	21.6465
mean_encode_gbr	23.8004
hist_gbr_lag_rolling	24.219
rf_tuned_lag_rolling	22.1908
rf_ewma_features	23.97
rf_mean_encode_lag_rolling	24.3756
extra_trees_lag_rolling	22.9244
rf_lag_rolling_7_14_trees500	25.2334
lag_rolling_7_14_verified	25.036
lag_rolling_7_14_verified	24.7035
lag_1_2_3_7_14	22.7781
180days_lag_rolling	30.9482
per_entity_random_forest	31.416
per_entity_random_forest	31.416
lag_rolling_7_14	31.1443
lag_rolling_7_14	28.1717
lag_rolling_7_14	28.1717
lag_rolling_7_14	28.1717
lag_rolling_7_14	28.1717
